Date;Subject;Content;DetectedLabel;TrainLabel
2018-01-24 09:35:00; Your Application at Ziegler-Cat;Dear Ms Parker, so the position is not open anymore? I can still see the job ad and see that it was even edited last week. To be honest, this is not a professional behavior. I have put a lot of time into my application! ;1;4
2018-01-24 09:55:00; Your Application at Ziegler-Cat;Dear Mister Hoffer, we are so sorry for the mistake! The job ad should have been deleted last week. We wish you all the best for your future career! ;2;5
2018-07-09 22:44:00;Application as Maintenance Technician;Hello, I would like to apply for the maintenance technician I found posted on  Is the job still available? Please find all the necessary documents attached. ;1;1
2018-07-09 22:46:00; Application as Maintenance Technician;Dear Mr. Smith, thank you a lot for your appliation which has been well received! Currently, many emails are reaching us - therefore please allow us up to 10 business days to reply to your application. Thank you for your understanding. ;5;2
2018-07-13 11:09:00;Application for Maintenance Technician;Dear John, we received an application as maintenance engineer. Please find his details attached. What do you think? ;3;3
2018-07-13 16:30:00; Application for Maintenance Technician;Hi Jessica, since last May we are no longer responsible for plant maintenance - all plant operations are now done by the Plant Security department. ;3;3
2018-07-14 09:45:00; Application for Maintenance Technician;Hi John, thank you for the info, I will forward it to the correct department. ;3;3
2018-07-14 09:11:00;Application for Maintenance Technician;Hi Peter, we have received a candidate for the position as maintenance engineer. Please find attached all the information. ;3;3
2018-07-14 15:44:00; Application for Maintenance Technician;Hi Jessica, for which position does the candidate apply for? We have two positions open - one is plant maintenance engineer (responsible for maintaining our plants) and one is product maintenance engineer (responsible for maintaining our products at customer sites). ;3;3
2018-07-14 16:59:00; Application for Maintenance Technician;Hi Peter, I will ask him and get back to you as soon as I know more! ;3;3
2018-07-15 09:11:00;Your Application at Ziegler-Cat;Dear Mister Smith, currently, there are two open positions in your field. One is plant maintenance engineer who is responsible for maintaining the company's plants and one is product maintenance engineer who is maintaining our products at customer's plants. For which job do you want to apply for? ;1;4
2018-07-15 09:44:00; Your Application at Ziegler-Cat;Dear Miss Parker, I would like to apply for the plant maintenance engineer position. ;1;4
2018-07-15 16:57:00; Application for Maintenance Technician;Hi Peter, the applicant would like to apply for the position as plant maintenance engineer. ;3;3
2018-07-18 14:46:00; Application for Maintenance Technician;Hello Jessica, we screened mister Smith's documents and we think he would be a good fit to our department. Should we invite him to an interview? ;3;3
2018-07-20 11:00:00; Application for Maintenance Technician;Yes, how about the 28th of July at 10:00am? ;3;3
2018-07-20 11:03:00; Application for Maintenance Technician;The proposed date works fine for me. ;3;3
2018-07-20 13:49:00;Your Application at Ziegler-Cat;Dear mister Smith, thank you for your appliation and your patience. We have processed your application and would like to invite you for an interview and to get to know you better at the 28th of July at 10:00 am. Does this date work for you? We are looking forward to hearing from you! ;1;4
2018-07-20 15:35:00; Your Application at Ziegler-Cat;Dear miss Parker, thank you for your consideration! Yes, the date works fine for me. ;7;4
2018-07-21 08:33:00; Your Application at Ziegler-Cat;Dear mister Smith, perfect, we are looking forward to meeting you. My assistant, Ms Flatcher will meet you at the lobby at 10:00am. Please find attached an .ical file for your digital calendar. ;7;4
2018-07-30 09:22:00; Your Application at Ziegler-Cat;Dear mister Smith, We were happy to meet you in person. Unfortunately we cannot consider you for the position you applied for. Nevertheless we wish you all the best for your future career! ;2;6
2017-05-03 08:22:00;Application for the position of Junior Accountant;Dear sir or madam, I found the job advertisement for the position as junior accountant on your website and would like to apply for it. I recently graduated in finance and have already collected valuable experiences through internships. I would be happy if you consider my application. My documents are attached below. ;1;1
2017-05-03 08:23:00;Your Application at Ziegler-Cat;Dear Ms. Taylor thank you a lot for your appliation which has been well received! Currently, many emails are reaching us - therefore please allow us up to 10 business days to reply to your application. Thank you for your understanding. ;5;2
2017-05-08 09:31:00;Application for Junior Accountant;Hello Cindy, I just received an application for the position of a Junior Accountant. Please find attached her profile. Do you think she would fit into your department? Thanks and ;3;3
2017-05-08 13:11:00; Application for Junior Accountant;Hi Jessica, seems like there are no files attached.. ;3;3
2017-05-08 16:33:00; Application for Junior Accountant;Hi Cindy, so sorry, I forgot the attachment. Please find them below. ;3;3
2017-05-09 10:21:00; Application for Junior Accountant;Hi Jessica, thank you so much! Do you know more about her Excel skills? In her resume the applicant only states general Microsoft Office Skills. ;3;3
2017-05-09 13:11:00; Application for Junior Accountant;Hi Cindy, I'll ask her and get back to you. ;3;3
2017-05-10 08:31:00;Your Application at Ziegler-Cat;Dear Ms. Taylor, thank you so much for you application. During the screening of your documents we found that you stated Informations about your overall Microsoft Office skills but not specifically your skills with Excel. As Microsoft Excel is a very important tool in our Accounting Department, could you please elaborate a little on your familiarity with it? Thanks and ;4;4
2017-05-10 09:05:00; Your Application at Ziegler-Cat;Dear Ms. Parker, thank you for your mail! I would consider my Excel skills to be slightly above average. However I am really good with computers and a fast learner. Also, I am willing to dig into any field that is needed for the job. ;4;4
2017-05-10 14:33:00; Your Application at Ziegler-Cat;Dear Ms. Taylor, thank you so much for your information, I will forward it to the respective department and get back to you as soon as I have more information. ;5;4
2017-05-10 16:03:00; Application for Junior Accountant;Dear Cindy, the applicant states that she has slightly above average Excel skills but that she is in general very good with computers and that she is willing to dig into it if her skills are not good enough. What do you think? ;3;3
2017-05-11 14:03:00; Application for Junior Accountant;Hi Jessica, I think that might work, we can also assign some of our company-trainings to her, if needed. Do we have some Excel courses upcoming? ;3;3
2017-05-11 14:51:00;  Application for Junior Accountant;Hi Cindy, I don't think there are any Excel courses planned in the future but if needed we can set up one for the applicant. ;3;3
2017-05-12 16:59:00;Excel Training;Hi Cindy, I just looked into it and actually, we will have an Excel course next month which looks like it would be well suited for Miss Taylor. What do you think, should we invite her for an interview? Jessica;3;3
2017-05-12 08:21:00; Excel Training;Hi Jessica, yes please - how about next Thursday, 09:00pm? ;3;3
2017-05-12 09:11:00; Excel Training;Hi Cindy, yes that works for us - I'll share the date with the applicant. ;3;3
2017-05-12 15:33:00;Invitation for Interview;Dear Ms. Taylor, we finished screening your application and would like to get to know you in person. Do you have time next thursday at 09:00am for a meeting at our headquarters? Thank you and ;1;4
2017-05-12 17:04:00; Invitation for Interview;Dear Ms. Parker, thank you for your consideration, the proposed date and time work fine for me, I will be there. ;7;4
2017-05-13 08:11:00; Invitation for Interview;Dear Ms. Taylor, we're looking forward to meeting you. Please be at the lobby shortly before 09:00 am, my assistant Ms. Flatcher will pick you up there. Also, please find attached an .ical file for your digital calendar. ;7;4
2017-05-18 09:31:00;Work contract and start of work;Dear Ms. Taylor, we are happy to got to know you. As discussed, we would like to offer you a contract which is also attached to this mail. All the details we discusses at the end of the interview are included. Your starting day would be the first day of the next month. If you agree, please sign the contract and send it back to me. We are happy to have you on board! Thank you and ;9;5
2017-05-18 11:33:00; Work contract and start of work;Dear Ms. Parker, Thank you for your kind words! I am happy to be on board and the contract is fine for me - please find the signed PDF attached to this mail. ;9;5
2018-04-02 19:23:00;Application as a secretary;Dear sir or madam, I would like to apply as a secretary at your company. I have been working as a secretary for the past 10 years and I think my experience qualifies me well for the job. Please find attached my application documents. ;1;1
2018-04-02 19:25:00;Your Application at Ziegler-Cat;Dear Ms. Williams, thank you a lot for your appliation which has been well received! Currently, many emails are reaching us - therefore please allow us up to 10 business days to reply to your application. Thank you for your understanding. ;5;2
2018-04-07 08:03:00;Application Secretary;Dear mister Evans, I just received an application for the position of secretary to the CEO. Please find attached all the details and the resume of the applicant. ;3;3
2018-04-07 14:15:00; Application Secretary;Dear Ms Parker, for the position, a previous working experience of 10 years is required. In the resume I cannot see the working duration of Ms. Williams at her last employer. Do you know more? For future applications I would ask you to screen the documents more thoroughly before forwarding them. Thank you and ;3;3
2018-04-07 14:25:00;  Application Secretary;Dear Mister Evans, sorry for the mistake! Miss Williams stated that she has been working as a secretary for the last 10 years. ;3;3
2018-04-08 07:21:00;  Application Secretary;Ok, her resume looks fine - let's invite her, shall we? ;3;3
2018-04-08 09:45:00;  Application Secretary;Dear mister Evans, I saw in your calendar, that you are free next wednesday, 08:30am. Does this schedule work for you? ;3;3
2018-04-08 09:56:00;  Application Secretary;Hi Jessica, yes - works for me, please set everything up. ;3;3
2018-04-09 08:12:00;Invitation to Job Interview;Dear Ms Williams, we finished screening your documents and would like to meet you in person. As a date, we propose the next Wednesday at 08:30am. Does this work for you? We are looking forward to get to know you personally. At the meeting, the assistant of the CEO, Mister Evans will also be present. ;7;4
2018-04-11 09:43:00; Invitation to Job Interview;Dear Ms Parker, thank you for your consideration. The date works fine for me, I am looking forward to meeting you! ;7;4
2018-04-17 13:21:00; Invitation to Job Interview;Dear Ms Williams, we are happy to meet you soon. Please come to the lobby next Wednesday, my assistant Ms. Flatcher will pick you up there. Also, an .ical file is attached to this mail for your digital calendar. ;7;4
2018-04-25 08:30:00;Contract and first day of work;Dear Ms Williams, It was a pleasure to meet you! As discussed in the interview, we will send the contract to you via mail. Please sign it and return it to us. Your first day of work will be the first day of the next month. We are happy to have you on board! If you have any questions please do not hestitate to ask. ;9;5
2019-10-04 23:41:00; Contract and first day of work;Dear sir or madam, I am hereby applying for the position of a Process Engineer as outlined on your website. Please find attached all the necessary documents. I would be more than happy over your consideration. ;1;1
2019-10-04 23:42:00;Your Application at Ziegler-Cat;Dear Mr. Davies, thank you a lot for your appliation which has been well received! Currently, many emails are reaching us - therefore please allow us up to 10 business days to reply to your application. Thank you for your understanding. ;5;2
2019-10-06 08:12:00;Process Engineer Application;Dear Howard, We received an application for the position of a process engineer. Our first screening indicates that he is highly qualified. What do you think? You can find his details attached. ;3;3
2019-10-06 08:44:00; Process Engineer Application;Hi Jessica, great news! We've been looking for months! We also looked into mister Davies documents and are really impressed. I would really like to meet him! ;3;3
2019-10-06 09:31:00; Process Engineer Application;Ok, I'll invite him. Would be next Thursday, 13:30 be fine for you? ;3;3
2019-10-06 11:43:00; Process Engineer Application;Hi, yes that works! ;3;3
2019-10-07 08:45:00;Invitation to Job Interview;Dear Mister Davies, we have screened your application and we would like to get to know you in person. Therefore we would like to invite you to our headquarters next Thursday at 13:30. Do that date and time work for you? ;7;4
2019-10-07 07:33:00;Invitation to Job Interview;Dear Ms. Parker, thanks a lot for your email. Yes, next Thursday at 13:30 works fine - I am looking forward to meeting you! ;7;4
2019-10-07 08:20:00;Invitation to Job Interview;Dear Mister Davies, thank you for your quick reply. We are looking forward to seeing you. My assistant, Ms. Flatcher will pick you up at 13:30 at the lobby. ;7;4
2019-10-11 08:45:00;Job Interview Davies;Hi Jessica, wow, I was really impressed today by the performance of Mister Davies. We would really like to have him in our team! ;3;3
2019-10-12 07:33:00;Job Offer;Dear mister Davies, after getting to know you we were really impressed by your career and your presentation. We would like to offer you the job under the conditions we discussed in the interview. We hope, you accept our offer. In this case, please sign and send back the PDF I attached to the email. We will send you the contract via email - please sign it and bring it with you on your first day of work which is the first day of next month. ;9;5
2019-10-13 08:38:00; Job Offer;Dear Miss Parker, thank you so much - it was nice getting to know you. I agree to the specified conditions and I am happy to be working with your company. Please find attached the signed document. ;9;5
2019-01-14 22:11:00;Application as a receptionist;To whom it may concern, I would hereby apply for the position as receptionist. I have been working part-time as a receptionist during the last two years of my studies and I think that my experiences qualify me well. Please find attached my application documents. ;1;1
2019-01-14 22:12:00;Your Application at Ziegler-Cat;Dear Ms. Jones, thank you a lot for your appliation which has been well received! Currently, many emails are reaching us - therefore please allow us up to 10 business days to reply to your application. Thank you for your understanding. ;5;2
2019-01-17 08:33:00;Application Receptionist;Hello Peter, We received an application for the open position of a receptionist. Please find her information attached. ;3;3
2019-01-17 12:33:00; Application Receptionist;Hi Jessica, the receptionists are no longer in the responsiblity of the plant security department but are now part of the Facility Management Team. ;3;3
2019-01-17 15:11:00; Application Receptionist;Hi Peter, alright - sorry for the misunderstanding, I will forward it to the correct department. ;3;3
2019-01-17 16:27:00;Application Receptionist;Dear Mister Snyder, we have an application for the open part-time position of a receptionist. Please find attached all the details. ;3;3
2019-01-19 11:11:00; Application Receptionist;Hello Ms. Parker, the resume looks good - i would propose that she starts working for a trial period of two weeks and if everything is fine we can make a fixed contract. She could start next Monday at 07:00am. ;3;3
2019-01-19 13:05:00; Application Receptionist;Hello Mr. Snyder, perfect, I'll let her know - if anything changes, I will notify you. ;3;3
2019-01-19 14:20:00;Your Application at Ziegler-Cat;Dear Miss Jones, thank you for your application and your patience. We screened your application and would be happy if you choose to work with us. You could start next wednesday at 07:00am for a two week trial period. If everything works fine, we will make a fixed contract. The head of the Facility Management Team, Mister Snyder will pick you up in the lobby. Please let me know if this works for you. ;7;5
2019-01-19 15:01:00;Your Application at Ziegler-Cat;Dear Ms Parker, thank you so much for your consideration - I am happy to tart working with your company. I will be there next Monday. ;5;5
2019-03-14 09:10:00;Application as Social Media Marketer;Dear sir or madam, I hereby would like to apply for the position of a social media marketer. I have been collecting experiences in that branche for 5 years now and I would be happy to work for your company. I am experienced with Facebook/Instagram marketing, Google Advertisement and TikTok Marketing. Please find my details attached to this mail. I would be happy about your consideration! ;1;1
2019-03-14 09:11:00;Your Application at Ziegler-Cat;Dear Mr. Davies, thank you a lot for your appliation which has been well received! Currently, many emails are reaching us - therefore please allow us up to 10 business days to reply to your application. Thank you for your understanding. ;5;2
2019-03-18 08:00:00;Application Social Media;Hey Francesca, We received an application for the open social media marketer position. He seems to be very experienced, you can find his details below. ;3;3
2019-03-19 11:31:00;Application Social Media;Hey Jessi, that's so cool! We were looking for quite some time. Do you know if he has experience with google ads as well? Other than that, his resume looks fine! Thanks and ;3;3
2019-03-20 09:40:00;Application Social Media;Hey Francesca, yes - he also worked with google ads. ;3;3
2019-03-20 09:55:00;Application Social Media;Alright, looks good - let's invite him. How about next monday 15:00?;3;3
2019-03-20 10:31:00;Application Social Media;I'll propose it to the candidate and get back to you when I know more. ;3;3
2019-03-20 11:33:00;Your Application at Ziegler-Cat;Dear Mister Mueller, we have screened your application and would like to get to know you in person. Therefore we want to invite you to our headquarters on next monday at 15:00. Would this schedule work for you? Thank you and ;1;4
2019-03-20 13:48:00; Your Application at Ziegler-Cat;Dear Ms Parker, thank you for your email! Yes, that day works fine for me. I am happy to meet you in person. ;7;4
2019-03-21 09:44:00; Your Application at Ziegler-Cat;Dear Mister Mueller, we are happy to meet you soon, please come to the lobby shortly before 15:00 where my assistant Ms. Flatcher will pick you up. Should you have any questions, please don't hestitate to ask. Also, please find attached an .ical file for your digital celandar. ;7;4
2019-03-26 09:05:00;Today's interview;Hey Jessi, today's interview with mister Mueller was great. We would really like him to work with us! ;3;3
2019-03-26 10:44:00; Today's interview;I was also impressed, we will offer the job to him! ;3;3
2019-03-28 09:11:00;Job Offer;Dear Mister Mueller, we are happy to have met you in person. We liked your presentation and your experience a lot and would therefore want to offer you the job. Attached to this mail, you can find all the details. Please let us know how you decide - if you choose to work with us, please sign the attached PDF and send it back. Your first day of work would be the first day of next month. ;9;5
2019-03-28 10:01:00; Job Offer;Dear Ms. Parker, Thank you so much for your nice words and the offer. I would like to accept it - please find the signed PDF attached. Happy to be on board! ;9;5
2019-06-22 11:23:00;Application Plant Medic;Dear sir or madam, I hereby would like to apply for the position of plant medic in the south east plant. I have been working as a plant medic during the last 10 years for two different companies and I would be exiting to work with you. ;0;1
2019-06-22 11:24:00;Your Application at Ziegler-Cat;Dear Mr. Davies, thank you a lot for your appliation which has been well received! Currently, many emails are reaching us - therefore please allow us up to 10 business days to reply to your application. Thank you for your understanding. ;5;2
